BSC1st Year 2021-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Detail,,,,,Physics,,,,Mathematics,,,Chemistry,,,,Computer Science,,,,Psychology,,,Defence Studies,,,Statistics,,,Anthropology,,,Biochemistry,,,,Botany,,,,Zoology,,,,Geography,,,Geology,,,
2202054,U2112313,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202055,U2112403,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202056,U2112122,209,209,Passed,21,2,25,30,11,19,20,19,12,11,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202057,U2112638,137,137,Failed,11,3,15,31,0,9,6,9,9,7,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202058,U2112350,260,260,Passed,21,17,23,38,03,28,23,26,25,13,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202059,U2112103,319,319,Passed,29,17,27,37,12,39,24,32,30,31,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202060,U2112531,296,296,Passed,28,18,28,34,34,26,22,--,--,--,--,--,--,--,--,--,--,--,37,37,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202061,U2112608,268,268,Passed,26,12,28,40,17,35,15,25,14,16,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202062,U2112552,219,219,Passed,23,11,20,37,17,11,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,22,25,--,--,--,--
2202063,U2112182,227,227,Elig/SE,17,11,20,35,13,20,11,--,--,--,--,20,24,23,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202064,U2112020,269,269,Passed,21,17,23,40,23,26,22,--,--,--,--,20,19,22,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202065,U2112263,306,306,Passed,30,17,26,37,25,39,27,23,21,18,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202066,U2112332,280,280,Passed,27,20,22,37,39,15,11,25,20,23,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202067,U2112419,307,307,Passed,30,18,23,35,24,40,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,31,40,--,--,--,--
2202068,U2110104,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202069,U2112241,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202070,U2110182,306,306,Passed,--,--,--,--,--,--,--,22,20,13,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,23,17,32,20,26,25,44,--,--,--,--,--,--,--
2202071,U2110051,260,260,Passed,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,22,29,--,--,--,--,23,14,9,29,14,25,23,40,--,--,--,--,--,--,--
2202072,U2112501,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202073,U2112544,240,240,Passed,18,14,20,35,10,24,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,24,36,--,--,--,--
2202074,U2112603,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202075,U2112259,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202076,U2112389,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202077,U2112133,272,272,Passed,27,8,25,37,11,19,27,24,29,22,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202078,U2112354,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202079,U2112299,251,251,Passed,18,8,26,42,17,17,30,18,23,14,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202080,U2112065,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202081,U2112019,178,178,Elig/SE,25,1,19,40,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,32,26,--,--,--,--
2202082,U2110252,226,226,Elig/SE,--,--,--,--,--,--,--,16,16,8,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,15,17,AA,21,19,20,36,--,--,--,--,--,--,--
2202083,U2112418,234,234,Passed,20,9,25,34,10,16,28,24,15,15,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202084,U2112017,291,291,Passed,23,13,16,38,40,18,41,--,--,--,--,23,20,24,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202085,U2112563,254,254,Passed,22,13,22,35,17,20,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,24,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202086,U2112534,235,235,Passed,18,16,16,34,11,23,29,18,16,13,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202087,U2112230,249,249,Passed,17,15,15,37,35,14,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,17,18,34
2202088,U2112424,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202089,U2110147,312,312,Passed,--,--,--,--,--,--,--,18,26,15,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,26,21,38,--,--,--,--,21,24,24,33,--,--,--,--,--,--,--
2202090,U2112092,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202091,U2112338,304,304,Passed,27,14,26,39,35,22,28,--,--,--,--,--,--,--,--,--,--,--,34,40,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202092,U2112116,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202093,U2110308,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202094,U2112499,70,70,Failed,AA,0,6,17,0,0,0,--,--,--,--,2,13,4,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202095,U2112434,293,293,Passed,23,13,25,39,41,28,25,20,25,17,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202096,U2112247,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202097,U2112361,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202098,U2110300,220,220,Passed,--,--,--,--,--,--,--,24,10,7,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,13,12,21,14,26,11,26,--,--,--,--,--,--,--
2202099,U2112348,208,208,Elig/SE,19,11,24,38,07,17,00,19,15,16,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202100,U2112489,163,163,Elig/SE,17,7,13,34,05,05,00,15,14,13,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202101,U2112423,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202102,U2112643,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202103,U2112283,268,268,Passed,20,18,25,34,18,31,24,24,16,18,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202104,U2112029,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202105,U2110265,304,304,Passed,--,--,--,--,--,--,--,24,18,20,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,22,24,28,21,24,19,39,--,--,--,--,--,--,--
2202106,U2112346,243,243,Elig/SE,27,14,25,34,09,17,11,25,23,19,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202107,U2112344,244,244,Elig/SE,24,15,22,35,07,12,17,27,24,18,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202108,U2110294,287,287,Passed,--,--,--,--,--,--,--,14,23,15,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,18,18,30,28,23,18,31,--,--,--,--,--,--,--
2202109,U2112106,293,293,Passed,24,16,23,35,25,28,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,34,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202110,U2112668,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202111,U2112010,353,353,Passed,25,16,28,41,40,37,37,31,31,28,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202112,U2112078,284,284,Passed,27,15,23,34,24,14,35,25,21,26,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202113,U2112670,149,149,Failed,11,1,19,34,05,01,06,7,11,16,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202114,U2112646,203,203,Elig/SE,17,6,17,37,07,19,08,--,--,--,--,--,--,--,--,--,--,--,24,35,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202115,U2112033,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
